input;Ray at angle: 90;Ray at angle: 81;Ray at angle: 99;Ray at angle: 72;Ray at angle: 108;Ray at angle: 63;Ray at angle: 117;Ray at angle: 54;Ray at angle: 126;Ray at angle: 45;Ray at angle: 135;Ray at angle: 36;Ray at angle: 144;Ray at angle: 27;Ray at angle: 153;Ray at angle: 18;Ray at angle: 162;Ray at angle: 9;Ray at angle: 171;Ray at angle: 0;Ray at angle: 180
0;1;0.5848154;1;0.406438;1;0.3122714;0.5089749;0.2559736;0.3423699;0.220036;0.2677168;0.1964095;0.2265141;0.1806436;0.2015063;0.1708504;0.1865496;0.1652751;0.1780209;0.1637552;0.1751548
0;1;0.5848154;1;0.406438;1;0.3122714;0.5089749;0.2559736;0.3423699;0.220036;0.2677168;0.1964095;0.2265141;0.1806436;0.2015063;0.1708504;0.1865496;0.1652751;0.1780209;0.1637552;0.1751548
0;1;0.5840415;1;0.4058495;1;0.3121537;0.5099016;0.255752;0.3429371;0.2198397;0.2680485;0.1963697;0.2267023;0.1805148;0.2016037;0.1707768;0.1866114;0.1653303;0.1779818;0.1637714;0.1751401
0;1;0.5830394;1;0.405132;1;0.3114309;0.511154;0.2553827;0.3435544;0.2195963;0.2684681;0.1961583;0.2269507;0.1803998;0.201793;0.1706768;0.1867108;0.1652966;0.1779975;0.1637681;0.1751281
0;1;0.5830394;1;0.405132;1;0.3114309;0.511154;0.2553827;0.3435544;0.2195963;0.2684681;0.1961583;0.2269507;0.1803998;0.201793;0.1706768;0.1867108;0.1652966;0.1779975;0.1637681;0.1751281
0;1;0.5819532;1;0.4043005;1;0.3108893;0.5126953;0.2549991;0.3443563;0.2193079;0.2689695;0.1959224;0.2272565;0.1802542;0.2020382;0.1705502;0.1868541;0.1652734;0.1781238;0.1637444;0.1751474
0;1;0.5819532;1;0.4043005;1;0.3108893;0.5126953;0.2549991;0.3443563;0.2193079;0.2689695;0.1959224;0.2272565;0.1802542;0.2020382;0.1705502;0.1868541;0.1652734;0.1781238;0.1637444;0.1751474
0;1;0.5804771;1;0.4036285;1;0.3102798;0.5144832;0.254565;0.3452719;0.21898;0.2695417;0.195654;0.2276124;0.1800812;0.2023227;0.1703999;0.1870296;0.1652297;0.1782815;0.1636976;0.1751888
-0.03816672;1;0.578968;1;0.4023553;1;0.3096142;0.5165184;0.2540903;0.3462751;0.2186209;0.2703683;0.1953603;0.228006;0.1798876;0.2026364;0.1702322;0.1872282;0.1651713;0.178459;0.1636358;0.175246
-0.07218686;1;0.578968;1;0.4023553;1;0.3096142;0.5165184;0.2540903;0.3462751;0.2186209;0.2703683;0.1953603;0.228006;0.1798876;0.2026364;0.1702322;0.1872282;0.1651713;0.178459;0.1636358;0.175246
-0.1110482;1;0.5775419;1;0.4013424;1;0.3090013;0.5185603;0.2536801;0.3474142;0.2182286;0.2708402;0.1950316;0.2284431;0.1796584;0.202994;0.1700276;0.1874706;0.1652354;0.1786818;0.1635343;0.1754778
-0.139061;1;0.5775419;1;0.4013424;1;0.3090013;0.5185603;0.2536801;0.3474142;0.2182286;0.2708402;0.1950316;0.2284431;0.1796584;0.202994;0.1700276;0.1874706;0.1652354;0.1786818;0.1635343;0.1754778
-0.177793;1;0.5764471;1;0.4004533;1;0.3082464;0.520326;0.2530665;0.3482941;0.2178347;0.271497;0.1946891;0.2290239;0.1794965;0.203544;0.1697965;0.187742;0.1649014;0.1789939;0.163396;0.1754979
-0.2137607;1;0.5758079;1;0.3997661;1;0.3076413;0.5215982;0.25258;0.349097;0.2174759;0.2721025;0.1945338;0.2293988;0.1791681;0.2037333;0.1695644;0.1881107;0.1646523;0.1792066;0.1632438;0.1756631
-0.2415516;1;0.5758079;1;0.3997661;1;0.3076413;0.5215982;0.25258;0.349097;0.2174759;0.2721025;0.1945338;0.2293988;0.1791681;0.2037333;0.1695644;0.1881107;0.1646523;0.1792066;0.1632438;0.1756631
-0.2766302;1;0.5759415;1;0.3993758;1;0.3071684;0.522465;0.2521515;0.3498304;0.2171362;0.2726953;0.1940347;0.2299041;0.1789043;0.2041396;0.1693347;0.1883376;0.1643527;0.179542;0.1630444;0.1759102
-0.2350062;1;0.5759415;1;0.3993758;1;0.3071684;0.522465;0.2521515;0.3498304;0.2171362;0.2726953;0.1940347;0.2299041;0.1789043;0.2041396;0.1693347;0.1883376;0.1643527;0.179542;0.1630444;0.1759102
-0.202451;1;0.5764201;1;0.3992501;1;0.30688;0.5220115;0.2518661;0.3500832;0.2169159;0.2729744;0.1938047;0.2301828;0.1787305;0.2043799;0.1690897;0.1885369;0.1641266;0.1797739;0.1628908;0.1760739
-0.165118;1;0.5764201;1;0.3992501;1;0.30688;0.5220115;0.2518661;0.3500832;0.2169159;0.2729744;0.1938047;0.2301828;0.1787305;0.2043799;0.1690897;0.1885369;0.1641266;0.1797739;0.1628908;0.1760739
-0.1281544;1;0.5782045;1;0.3999066;1;0.3070297;0.5215372;0.2518934;0.3502467;0.2169328;0.273148;0.1937644;0.2303555;0.1787479;0.2045476;0.1690078;0.1886295;0.1640108;0.1798961;0.1628473;0.1762373
-0.09046035;1;0.5781835;1;0.3995882;1;0.3067951;0.5196355;0.2517151;0.3497567;0.2167735;0.2729327;0.1936863;0.2302565;0.1786269;0.2045081;0.168968;0.1886247;0.1639683;0.1798888;0.1629036;0.1762209
-0.05695772;1;0.5781835;1;0.3995882;1;0.3067951;0.5196355;0.2517151;0.3497567;0.2167735;0.2729327;0.1936863;0.2302565;0.1786269;0.2045081;0.168968;0.1886247;0.1639683;0.1798888;0.1629036;0.1762209
-0.01696879;1;0.5793794;1;0.3999888;1;0.3069273;0.5186498;0.2517995;0.3495736;0.2168056;0.2728381;0.1937116;0.2302013;0.178633;0.2044694;0.1690216;0.1886115;0.1640001;0.1798338;0.163021;0.1761951
0;1;0.5793794;1;0.3999888;1;0.3069273;0.5186498;0.2517995;0.3495736;0.2168056;0.2728381;0.1937116;0.2302013;0.178633;0.2044694;0.1690216;0.1886115;0.1640001;0.1798338;0.163021;0.1761951
0;1;0.5800003;1;0.4001502;1;0.3069512;0.5171909;0.2518254;0.3491685;0.2168102;0.2727063;0.1937291;0.2300528;0.1786453;0.2043592;0.169092;0.1885405;0.1640584;0.17973;0.1632484;0.1761274
0;1;0.5797381;1;0.3998659;1;0.3067129;0.5180624;0.251679;0.3497325;0.216696;0.2728873;0.1936611;0.2302104;0.1785953;0.2044467;0.1692777;0.1885993;0.1640849;0.1797024;0.1631206;0.1760961
-0.03750224;1;0.5797381;1;0.3998659;1;0.3067129;0.5180624;0.251679;0.3497325;0.216696;0.2728873;0.1936611;0.2302104;0.1785953;0.2044467;0.1692777;0.1885993;0.1640849;0.1797024;0.1631206;0.1760961
-0.07122712;1;0.5793235;1;0.3993663;1;0.3064185;0.517715;0.2515059;0.3498379;0.2165028;0.272976;0.1935178;0.2303508;0.1784754;0.2046396;0.1690757;0.1886694;0.1640924;0.1797159;0.1630626;0.1761414
-0.1030722;1;0.5793235;1;0.3993663;1;0.3064185;0.517715;0.2515059;0.3498379;0.2165028;0.272976;0.1935178;0.2303508;0.1784754;0.2046396;0.1690757;0.1886694;0.1640924;0.1797159;0.1630626;0.1761414
-0.1393788;1;0.5796345;1;0.3991229;1;0.3060997;0.5191068;0.2511867;0.3507363;0.2162846;0.2735327;0.1933348;0.230748;0.1782989;0.2047981;0.1689658;0.1890077;0.1639117;0.1800103;0.1629093;0.1762802
-0.1789068;1;0.5788909;1;0.3983484;1;0.3055045;0.5189177;0.2507023;0.3510388;0.2159142;0.273871;0.1930342;0.2310391;0.1780343;0.2050097;0.1687879;0.1891335;0.1637175;0.1800303;0.1627193;0.1764673
-0.2138022;1;0.5788909;1;0.3983484;1;0.3055045;0.5189177;0.2507023;0.3510388;0.2159142;0.273871;0.1930342;0.2310391;0.1780343;0.2050097;0.1687879;0.1891335;0.1637175;0.1800303;0.1627193;0.1764673
-0.2528964;1;0.5800179;1;0.3983635;1;0.3053136;0.519757;0.2504333;0.3517307;0.2156576;0.2744744;0.1927843;0.231519;0.1777742;0.2053964;0.1685527;0.1894773;0.1634646;0.1803022;0.1625445;0.1767554
-0.2899458;1;0.5800179;1;0.3983635;1;0.3053136;0.519757;0.2504333;0.3517307;0.2156576;0.2744744;0.1927843;0.231519;0.1777742;0.2053964;0.1685527;0.1894773;0.1634646;0.1803022;0.1625445;0.1767554
-0.2489553;1;0.580658;1;0.3981443;1;0.3049721;0.5184497;0.2500649;0.3517413;0.2153864;0.2747256;0.1924841;0.2318005;0.1776045;0.2056971;0.1682181;0.1897642;0.1631933;0.1805713;0.1621531;0.1770656
-0.2173277;1;0.5840567;1;0.3991971;0.994693;0.3053983;0.5165533;0.250188;0.351376;0.2152895;0.2747476;0.1924425;0.2319319;0.1773278;0.2058923;0.1680045;0.1899855;0.1630062;0.1808331;0.1619116;0.177316
